,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,greeks,estimated_delivery_price,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,ask_iv
volume,10299.27,SYN.BTC-24SEP20,2020-09-24 02:50:46.155,,open,0.04,0,0.0005,0.0575,0.02933807,70,,0,BTC-24SEP20-10000-C,10298.19,,10298.19,0,0,0,0,0,0
price_change,10299.27,SYN.BTC-24SEP20,2020-09-24 02:50:46.155,,open,0.04,0,0.0005,0.0575,0.02933807,70,,0,BTC-24SEP20-10000-C,10298.19,,10298.19,0,0,0,0,0,0
low,10299.27,SYN.BTC-24SEP20,2020-09-24 02:50:46.155,,open,0.04,0,0.0005,0.0575,0.02933807,70,,0,BTC-24SEP20-10000-C,10298.19,,10298.19,0,0,0,0,0,0
high,10299.27,SYN.BTC-24SEP20,2020-09-24 02:50:46.155,,open,0.04,0,0.0005,0.0575,0.02933807,70,,0,BTC-24SEP20-10000-C,10298.19,,10298.19,0,0,0,0,0,0
vega,10299.27,SYN.BTC-24SEP20,2020-09-24 02:50:46.155,,open,0.04,0,0.0005,0.0575,0.02933807,70,,0,BTC-24SEP20-10000-C,10298.19,0.21701,10298.19,0,0,0,0,0,0
theta,10299.27,SYN.BTC-24SEP20,2020-09-24 02:50:46.155,,open,0.04,0,0.0005,0.0575,0.02933807,70,,0,BTC-24SEP20-10000-C,10298.19,-7.5954,10298.19,0,0,0,0,0,0
rho,10299.27,SYN.BTC-24SEP20,2020-09-24 02:50:46.155,,open,0.04,0,0.0005,0.0575,0.02933807,70,,0,BTC-24SEP20-10000-C,10298.19,0.056330000000000005,10298.19,0,0,0,0,0,0
gamma,10299.27,SYN.BTC-24SEP20,2020-09-24 02:50:46.155,,open,0.04,0,0.0005,0.0575,0.02933807,70,,0,BTC-24SEP20-10000-C,10298.19,0.0005,10298.19,0,0,0,0,0,0
delta,10299.27,SYN.BTC-24SEP20,2020-09-24 02:50:46.155,,open,0.04,0,0.0005,0.0575,0.02933807,70,,0,BTC-24SEP20-10000-C,10298.19,0.9595800000000001,10298.19,0,0,0,0,0,0
